_id,session,run,meanScore,maxScore,alpha,gamma,exploreRate,batchSize,bufferSize
647d382dbeb44780d54d93f9,1,1,12,12,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d93fa,1,2,13,14,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d93fb,1,3,21.333333333333332,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d93fc,1,4,21.75,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d93fd,1,5,20.4,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d93fe,1,6,21.333333333333332,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d93ff,1,7,20,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9400,1,8,21,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9401,1,9,20.555555555555557,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9402,1,10,20,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9403,1,11,20.636363636363637,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9404,1,12,20,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9405,1,13,20.384615384615383,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9406,1,14,20.571428571428573,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9407,1,15,20.6,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9408,1,16,20.25,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9409,1,17,21.058823529411764,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d940a,1,18,20.833333333333332,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d940b,1,19,20.57894736842105,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d940c,1,20,21.05,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d940d,1,21,20.714285714285715,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d940e,1,22,20.454545454545453,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d940f,1,23,20.82608695652174,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9410,1,24,20.833333333333332,38,0.01,0.9,90.0,40,10000
647d382dbeb44780d54d9411,1,25,20.56,38,0.01,0.9,90.0,40,10000
